가교협,0,0,0,NNP,*,T,가교협,Compound,*,*,가+교+협,가/NNG/*/1/1+가교협/Compound/*/0/3+교/NNG/*/1/1+협/NNG/*/1/1
가나아트,0,0,0,NNP,*,F,가나아트,Compound,*,*,가나+아트,가나/NNG/*/1/1+가나아트/Compound/*/0/2+아트/NNG/*/1/1
가나아트닷컴,0,0,0,NNP,*,T,가나아트닷컴,Compound,*,*,가나+아트+닷컴,가나/NNG/*/1/1+가나아트닷컴/Compound/*/0/3+아트/NNG/*/1/1+닷컴/NNP/*/1/1
가나아트센터,0,0,0,NNP,*,F,가나아트센터,Compound,*,*,가나+아트+센터,가나/NNG/*/1/1+가나아트센터/Compound/*/0/3+아트/NNG/*/1/1+센터/NNG/*/1/1
가나안,0,0,0,NNP,*,T,가나안,*,*,*,*,*
가나인사아트센터,0,0,0,NNP,*,F,가나인사아트센터,Compound,*,*,가나+인사+아트+센터,가나/NNG/*/1/1+가나인사아트센터/Compound/*/0/4+인사/NNG/*/1/1+아트/NNG/*/1/1+센터/NNG/*/1/1
가농,0,0,0,NNP,*,T,가농,Compound,*,*,가+농,가/NNG/*/1/1+가농/Compound/*/0/2+농/NNG/*/1/1
가드인,0,0,0,NNP,*,T,가드인,*,*,*,*,*
가드텍,0,0,0,NNP,*,T,가드텍,*,*,*,*,*
가든파이브,0,0,0,NNP,*,F,가든파이브,Compound,*,*,가든+파이브,가든/NNP/지명/1/1+가든파이브/Compound/*/0/2+파이브/NNP/인명/1/1
가디언,0,0,0,NNP,*,T,가디언,*,*,*,*,*
가로,0,0,0,NNP,*,F,가로,*,*,*,*,*
가비아,0,0,0,NNP,*,F,가비아,*,*,*,*,*
가빈,0,0,0,NNP,*,T,가빈,*,*,*,*,*
가사,0,0,0,NNP,*,F,가사,Compound,*,*,가+사,가/NNG/*/1/1+가사/Compound/*/0/2+사/NNG/*/1/1
가스공사,0,0,0,NNP,*,F,가스공사,Compound,*,*,가스+공사,가스/NNG/*/1/1+가스공사/Compound/*/0/2+공사/NNG/*/1/1
가스배관공사,0,0,0,NNP,*,F,가스배관공사,Compound,*,*,가스+배관+공사,가스/NNG/*/1/1+가스배관공사/Compound/*/0/3+배관/NNG/*/1/1+공사/NNG/*/1/1
가스시설공사,0,0,0,NNP,*,F,가스시설공사,Compound,*,*,가스+시설+공사,가스/NNG/*/1/1+가스시설공사/Compound/*/0/3+시설/NNG/*/1/1+공사/NNG/*/1/1
가스안전공사,0,0,0,NNP,*,F,가스안전공사,Compound,*,*,가스+안전+공사,가스/NNG/*/1/1+가스안전공사/Compound/*/0/3+안전/NNG/*/1/1+공사/NNG/*/1/1
가스연맹,0,0,0,NNP,*,T,가스연맹,Compound,*,*,가스+연맹,가스/NNG/*/1/1+가스연맹/Compound/*/0/2+연맹/NNG/*/1/1
가신연,0,0,0,NNP,*,T,가신연,Compound,*,*,가+신+연,가/NNG/*/1/1+가신연/Compound/*/0/3+신/NNG/*/1/1+연/NNG/*/1/1
가야국악연구소,0,0,0,NNP,*,F,가야국악연구소,Compound,*,*,가야+국악+연구+소,가야/NNG/*/1/1+가야국악연구소/Compound/*/0/4+국악/NNG/*/1/1+연구/NNG/*/1/1+소/NNG/*/1/1
가오,0,0,0,NNP,*,F,가오,*,*,*,*,*
가올,0,0,0,NNP,*,T,가올,*,*,*,*,*
가정법률상담소,0,0,0,NNP,*,F,가정법률상담소,Compound,*,*,가정+법률+상담+소,가정/NNG/*/1/1+가정법률상담소/Compound/*/0/4+법률/NNG/*/1/1+상담/NNG/*/1/1+소/NNG/*/1/1
가조,0,0,0,NNP,*,F,가조,*,*,*,*,*
가톨릭대병원,0,0,0,NNP,*,T,가톨릭대병원,Compound,*,*,가톨릭+대+병원,가톨릭/NNG/*/1/1+가톨릭대병원/Compound/*/0/3+대/NNG/*/1/1+병원/NNG/*/1/1
